Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-14 08:30:00,1.55769324e-07
2018-01-14 09:30:00,1.44839906e-07
2018-01-14 10:30:00,1.38905642e-07
2018-01-14 11:30:00,1.35503563e-07
2018-01-14 12:30:00,1.34983561e-07
2018-01-14 13:30:00,1.37168584e-07
2018-01-14 14:30:00,1.4150165e-07
2018-01-14 15:30:00,1.47921008e-07
2018-01-14 16:30:00,1.55446003e-07
2018-01-14 17:30:00,1.62412199e-07
2018-01-14 18:30:00,1.67737325e-07
2018-01-14 19:30:00,1.71326604e-07
2018-01-14 20:30:00,1.737906e-07
2018-01-14 21:30:00,1.75669349e-07
2018-01-14 22:30:00,1.77149551e-07
2018-01-14 23:30:00,1.78359605e-07
2018-01-15 00:30:00,1.7933425e-07
2018-01-15 01:30:00,1.78818473e-07
2018-01-15 02:30:00,1.7211199e-07
2018-01-15 03:30:00,1.60297659e-07
2018-01-15 04:30:00,1.54748831e-07
2018-01-15 05:30:00,1.48752351e-07
2018-01-15 06:30:00,1.40129612e-07
2018-01-15 07:30:00,1.38956894e-07
2018-01-15 08:30:00,1.37275293e-07
2018-01-15 09:30:00,1.35637419e-07
2018-01-15 10:30:00,1.34687951e-07
2018-01-15 11:30:00,1.34769714e-07
2018-01-15 12:30:00,1.35091224e-07
2018-01-15 13:30:00,1.35506044e-07
2018-01-15 14:30:00,1.35940208e-07
2018-01-15 15:30:00,1.36386053e-07
2018-01-15 16:30:00,1.36899171e-07
2018-01-15 17:30:00,1.37508711e-07
2018-01-15 18:30:00,1.38224227e-07
2018-01-15 19:30:00,1.38889602e-07
2018-01-15 20:30:00,1.39209464e-07
