date,pm2_5_mean,pm2_5_max,wind_speed_mean,wind_u_mean,wind_v_mean,temperature_mean,rh_mean,blh_mean,precip_sum,aod_extinction,merra2_surf_pm25_ugm3,aod_missing,pm25_lag7,season
11/7/2022,114.1666667,176,5.2125,-3.536282346,-0.533265973,24.9875,67.75,387.5,0,0.310822201,35.93108092,0,64.87083333,Post_Monsoon
11/8/2022,100.9541667,149.9,4.229166667,0.299004395,2.86983587,24.85,67.79166667,370.8333333,0,0.353418678,37.74902504,0,52.11666667,Post_Monsoon
11/9/2022,80.7875,152.3,7.241666667,2.882321497,6.185246435,24.60833333,68.95833333,447.2916667,0,0.247301588,25.43090523,0,44.9375,Post_Monsoon
11/10/2022,73.22916667,114.1,7.029166667,2.543343235,6.013123835,23.84583333,68.29166667,504.1666667,0,0.186104508,18.08349621,0,63.625,Post_Monsoon
11/11/2022,77.05833333,124.3,6.479166667,-1.531936068,4.936480532,23.20833333,69.125,433.5416667,0,0.212140488,18.53550475,0,70.11666667,Post_Monsoon
11/12/2022,70.66666667,137.4,6.9625,-1.980237754,6.376729525,23.37916667,72.45833333,434.1666667,0,0.267395247,24.30209423,0,78.625,Post_Monsoon
11/13/2022,114.5791667,167.6,7.4125,-3.128603017,6.59826258,22.74583333,72.04166667,408.5416667,0,0.689149514,77.52435884,0,102.0625,Post_Monsoon
11/14/2022,85.225,99.9,7.625,-3.698785723,6.279447598,22.15833333,72.04166667,386.6666667,0,0.360392087,55.20944936,0,114.1666667,Post_Monsoon
11/15/2022,64.6125,84.8,6.758333333,-3.457610548,5.498202347,22.28333333,74.54166667,371.6666667,0,0.225671294,31.86214723,0,100.9541667,Post_Monsoon
11/16/2022,57.10833333,84.8,6.858333333,-2.788021705,5.997656551,22.6,75.29166667,342.0833333,0,0.270535532,30.59881723,0,80.7875,Post_Monsoon
11/17/2022,69.6625,102,7.870833333,-2.126701716,7.170918545,22.09166667,70.70833333,333.5416667,0,0.337297299,37.96751293,0,73.22916667,Post_Monsoon
11/18/2022,62.89166667,81,8.758333333,-2.936945408,8.044347843,22.07916667,68.58333333,418.3333333,0,0.361861424,41.67705496,0,77.05833333,Post_Monsoon
11/19/2022,41.36666667,66.1,7.954166667,-2.908492532,7.236927587,21.725,74.41666667,270.625,0,0.131457118,27.79788848,0,70.66666667,Post_Monsoon
11/20/2022,44.37916667,64.7,7.075,-3.485306941,5.662468715,23.1125,71,246.6666667,0,0.142911471,25.6408602,0,114.5791667,Post_Monsoon
11/21/2022,52.825,77.1,8.433333333,-5.401885583,6.224792054,22.675,67.875,304.375,0,0.190347483,37.96505966,0,85.225,Post_Monsoon
11/22/2022,70.575,98,8.708333333,-5.937176027,6.006742328,21.1,71.375,345.8333333,0,0.33164786,64.126538,0,64.6125,Post_Monsoon
11/23/2022,79.1625,107.6,8.275,-5.167899507,6.083073987,21.51666667,70.125,369.5833333,0,0.360047992,58.32531186,0,57.10833333,Post_Monsoon
11/24/2022,70.4125,100.4,8.1375,-4.652437116,6.486174984,21.425,70.83333333,342.2916667,0,0.378877158,66.16719548,0,69.6625,Post_Monsoon
11/25/2022,40.67916667,56,7.283333333,-3.982138398,5.665465353,21.96666667,74.83333333,307.2916667,0,0.181832086,32.97745103,0,62.89166667,Post_Monsoon
11/26/2022,65.00833333,117.6,6.366666667,-3.674261942,3.823351415,21.81666667,73.875,316.6666667,0,0.150504509,24.24401956,0,41.36666667,Post_Monsoon
11/27/2022,79.25833333,119.7,7.183333333,-4.073995032,4.241013492,21.44166667,71.75,323.75,0,0.198014657,29.41057033,0,44.37916667,Post_Monsoon
11/28/2022,72.23333333,94.8,7.004166667,-3.620584247,4.888260189,21.8625,68.91666667,298.125,0,0.245860995,33.05386706,0,52.825,Post_Monsoon
11/29/2022,79.87916667,116.9,5.729166667,-3.13579789,2.869908096,24.13333333,63.45833333,231.6666667,0,0.290460434,39.7394911,0,70.575,Post_Monsoon
11/30/2022,76.27083333,88.5,6.408333333,-4.013217434,3.561576842,24.3625,63.70833333,286.875,0,0.379211045,57.98545552,0,79.1625,Post_Monsoon
12/1/2022,39.55833333,56,8.166666667,-5.927029396,5.330159413,22.34166667,69.5,354.7916667,0,0.276151813,47.07520598,0,70.4125,Winter
12/2/2022,44.875,57,8.170833333,-5.3917569,5.970380248,21.58333333,70.125,342.9166667,0,0.250124584,40.06966828,0,40.67916667,Winter
